"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_237000","Avances et acomptes versés sur immobilisations incorporelles","237000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_238000","Avances et acomptes versés sur commandes d'immobilisations corporelles","238000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_240000","Immobilisations à statut juridique particulier","240000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_251100","Actions","251100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_251800","Autres titres","251800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_256000","Autres formes de participation","256000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_257100","Créances rattachées à des participations (groupe)","257100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_257400","Créances rattachées à des participations (hors groupe)","257400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_257500","Versements représentatifs d'apports non capitalisés (appel de fonds)","257500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_257600","Avances consolidables","257600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_257700","Autres créances rattachées à des participations","257700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_258000","Créances rattachées à des sociétés en participation","258000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_259000","Versements restant à effectuer sur titres de participation non libérés","259000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_261100","Actions","261100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_261800","Autres titres","261800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_262100","Obligations","262100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_262200","Bons","262200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_264100","Prêts participatifs","264100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_264200","Prêts aux associés","264200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_264300","Prêts au personnel","264300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_264500","Prêts assortis de sûretés (à subdiviser)","264500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_264800","Autres prêts","264800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_265000","Dépôts et cautionnements versés","265000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_265100","Dépôts","265100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_265500","Cautionnements","265500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_265600","Dépôts bancaires non courants","265600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_265800","Autres","265800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_266100","Créances immobilisées","266100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_266700","Créances diverses","266700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_266800","Autres créances non courantes","266800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_269000","Versements restant à effectuer sur titres de participation non libérés","269000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_271000","Frais préliminaires","271000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_272000","Charges à répartir","272000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_273000","Frais d'émission et primes de remboursement des emprunts","273000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_275000","Écarts de conversion","275000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
